lda,n
220,3.017
240,3.044
260,2.905
280,2.816
300,2.774
320,2.784
340,2.79
360,2.71
380,2.615
400,2.55
420,2.508
440,2.475
460,2.451
480,2.429
500,2.416
520,2.397
540,2.384
560,2.373
580,2.363
600,2.355
620,2.348
640,2.341
660,2.335
680,2.331
700,2.327
720,2.322
740,2.319
760,2.316
780,2.313
800,2.31
820,2.308
840,2.306
860,2.304
880,2.303
900,2.301
920,2.3
940,2.299
960,2.298
980,2.298
1000,2.298
1020,2.298
1040,2.299
1060,2.299
1080,2.299
1100,2.299
1120,2.299
1140,2.299
1160,2.299
1180,2.298
1200,2.298
1220,2.297
1240,2.297
1260,2.296
1280,2.296
1300,2.295
1320,2.294
1340,2.293
1360,2.293
1380,2.292
1400,2.292
1420,2.292
1440,2.291
1460,2.291
1480,2.291
1500,2.29
1520,2.29
1540,2.289
1560,2.289
1580,2.289
1600,2.288
1620,2.288
1640,2.287
1660,2.286
1680,2.286
1700,2.286
1720,2.286
1740,2.286
1760,2.286
1780,2.286
1800,2.286
1820,2.286
1840,2.287
1860,2.287
1880,2.287
1900,2.287
1920,2.287
1940,2.287
1960,2.286
1980,2.286
2000,2.285
2020,2.285
2040,2.284
2060,2.284
2080,2.283
2100,2.281
2120,2.28
2140,2.28
2160,2.279
2180,2.278
2200,2.278
2220,2.277
2240,2.277
2260,2.276
2280,2.276
2300,2.275
2320,2.274
2340,2.273
2360,2.272
2380,2.271
2400,2.271
2420,2.27
2440,2.269
2460,2.268
2480,2.268
2500,2.268
2512.6,2.268
2525.3,2.268
2538.1,2.268
2551,2.268
2564.1,2.268
2577.3,2.268
2590.7,2.268
2604.2,2.268
2617.8,2.268
2631.6,2.268
2645.5,2.268
2659.6,2.268
2673.8,2.268
2688.2,2.267
2702.7,2.267
2717.4,2.267
2732.2,2.267
2747.3,2.266
2762.4,2.266
2777.8,2.266
2793.3,2.265
2809,2.265
2824.9,2.264
2840.9,2.264
2857.1,2.264
2873.6,2.263
2890.2,2.263
2907,2.263
2924,2.263
2941.2,2.263
2958.6,2.262
2976.2,2.262
2994,2.262
3012,2.262
3030.3,2.262
3048.8,2.261
3067.5,2.261
3086.4,2.261
3105.6,2.261
3125,2.261
3144.7,2.26
3164.6,2.26
3184.7,2.26
3205.1,2.26
3225.8,2.26
3246.8,2.26
3268,2.259
3289.5,2.259
3311.3,2.259
3333.3,2.259
3355.7,2.259
3378.4,2.259
3401.4,2.259
3424.7,2.258
3448.3,2.258
3472.2,2.258
3496.5,2.258
3521.1,2.258
3546.1,2.258
3571.4,2.258
3597.1,2.257
3623.2,2.257
3649.6,2.257
3676.5,2.257
3703.7,2.257
3731.3,2.257
3759.4,2.257
3787.9,2.256
3816.8,2.256
3846.2,2.256
3876,2.256
3906.3,2.256
3937,2.256
3968.3,2.255
4000,2.255
4032.3,2.255
4065,2.254
4098.4,2.254
4132.2,2.254
4166.7,2.253
4201.7,2.253
4237.3,2.252
4273.5,2.252
4310.3,2.252
4347.8,2.251
4386,2.251
4424.8,2.251
4464.3,2.25
4504.5,2.25
4545.5,2.25
4587.2,2.25
4629.6,2.25
4672.9,2.25
4717,2.249
4761.9,2.249
4807.7,2.249
4854.4,2.249
4902,2.248
4950.5,2.248
5000,2.248
5050.5,2.247
5102,2.247
5154.6,2.247
5208.3,2.246
5263.2,2.246
5319.1,2.246
5376.3,2.245
5434.8,2.244
5494.5,2.244
5555.6,2.243
5618,2.242
5681.8,2.242
5747.1,2.241
5814,2.24
5882.4,2.239
5952.4,2.239
6024.1,2.238
6097.6,2.237
6172.8,2.236
6250,2.236
6329.1,2.235
6410.3,2.235
6493.5,2.234
6578.9,2.234
6666.7,2.233
6756.8,2.232
6849.3,2.232
6944.4,2.231
7042.3,2.23
7142.9,2.229
7246.4,2.229
7352.9,2.228
7462.7,2.227
7575.8,2.226
7692.3,2.225
7812.5,2.224
7936.5,2.223
8064.5,2.221
8196.7,2.22
8333.3,2.219
8474.6,2.217
8620.7,2.216
8771.9,2.214
8928.6,2.213
9090.9,2.211
9259.3,2.209
9434,2.207
9615.4,2.204
9803.9,2.201
10000,2.199
10204.1,2.196
10416.7,2.192
10638.3,2.189
10869.6,2.185
11111.1,2.18
11353.6,2.176
11627.9,2.172
11904.8,2.167
12195.1,2.161
12500,2.155
12820.5,2.149
13157.9,2.141
13513.5,2.133
13888.9,2.125
14285.7,2.116
14705.9,2.107
15151.5,2.097
15625,2.086
16129,2.074
16666.7,2.059
17241.4,2.042
17857.1,2.021
18518.5,1.995
19230.8,1.96
20000,1.923
20833.3,1.883
21739.1,1.828
22727.3,1.751
23809.5,1.648
25000,1.507
26315.8,1.296
27777.8,0.865
29411.8,0.093
31250,0.107
33333.3,0.702
35714.3,2.653
38461.5,6.369
41666.7,4.347
45454.5,3.709
50000,3.465
55555.6,3.324
62500,3.223
71428.6,3.15
83333.3,3.097
100000,3.058
125000,3.029
166666.7,3.008
