wl,n,,wl,k
1.53846,2.02942,,1.53846,0.00002
1.53941,2.02941,,1.53941,0.00002
1.54036,2.0294,,1.54036,0.00002
1.54131,2.02939,,1.54131,0.00002
1.54226,2.02938,,1.54226,0.00002
1.54321,2.02937,,1.54321,0.00002
1.54416,2.02936,,1.54416,0.00002
1.54512,2.02935,,1.54512,0.00002
1.54607,2.02934,,1.54607,0.00002
1.54703,2.02933,,1.54703,0.00002
1.54799,2.02932,,1.54799,0.00002
1.54895,2.02931,,1.54895,0.00002
1.54991,2.0293,,1.54991,0.00002
1.55087,2.02929,,1.55087,0.00002
1.55183,2.02928,,1.55183,0.00002
1.5528,2.02927,,1.5528,0.00002
1.55376,2.02926,,1.55376,0.00002
1.55473,2.02925,,1.55473,0.00002
1.55569,2.02924,,1.55569,0.00002
1.55666,2.02923,,1.55666,0.00002
1.55763,2.02922,,1.55763,0.00002
1.5586,2.02921,,1.5586,0.00002
1.55958,2.0292,,1.55958,0.00002
1.56055,2.02919,,1.56055,0.00003
1.56152,2.02918,,1.56152,0.00003
1.5625,2.02917,,1.5625,0.00003
1.56348,2.02916,,1.56348,0.00003
1.56446,2.02915,,1.56446,0.00003
1.56544,2.02914,,1.56544,0.00003
1.56642,2.02913,,1.56642,0.00003
1.5674,2.02912,,1.5674,0.00003
1.56838,2.02911,,1.56838,0.00003
1.56937,2.0291,,1.56937,0.00003
1.57035,2.02909,,1.57035,0.00003
1.57134,2.02908,,1.57134,0.00003
1.57233,2.02907,,1.57233,0.00003
1.57332,2.02906,,1.57332,0.00003
1.57431,2.02905,,1.57431,0.00003
1.5753,2.02904,,1.5753,0.00003
1.57629,2.02903,,1.57629,0.00003
1.57729,2.02902,,1.57729,0.00003
1.57828,2.02901,,1.57828,0.00003
1.57928,2.029,,1.57928,0.00003
1.58028,2.02899,,1.58028,0.00003
1.58128,2.02898,,1.58128,0.00003
1.58228,2.02897,,1.58228,0.00003
1.58328,2.02896,,1.58328,0.00003
1.58428,2.02895,,1.58428,0.00003
1.58529,2.02894,,1.58529,0.00003
1.58629,2.02893,,1.58629,0.00003
1.5873,2.02892,,1.5873,0.00003
1.58831,2.0289,,1.58831,0.00003
1.58932,2.02889,,1.58932,0.00003
1.59033,2.02888,,1.59033,0.00003
1.59134,2.02887,,1.59134,0.00003
1.59236,2.02886,,1.59236,0.00003
1.59337,2.02885,,1.59337,0.00003
1.59439,2.02884,,1.59439,0.00003
1.59541,2.02883,,1.59541,0.00003
1.59642,2.02882,,1.59642,0.00003
1.59744,2.02881,,1.59744,0.00003
1.59847,2.0288,,1.59847,0.00003
1.59949,2.02879,,1.59949,0.00003
1.60051,2.02878,,1.60051,0.00003
1.60154,2.02876,,1.60154,0.00003
1.60256,2.02875,,1.60256,0.00003
1.60359,2.02874,,1.60359,0.00003
1.60462,2.02873,,1.60462,0.00003
1.60565,2.02872,,1.60565,0.00003
1.60668,2.02871,,1.60668,0.00003
1.60772,2.0287,,1.60772,0.00003
1.60875,2.02869,,1.60875,0.00003
1.60979,2.02868,,1.60979,0.00003
1.61082,2.02867,,1.61082,0.00003
1.61186,2.02865,,1.61186,0.00003
1.6129,2.02864,,1.6129,0.00003
1.61394,2.02863,,1.61394,0.00003
1.61499,2.02862,,1.61499,0.00003
1.61603,2.02861,,1.61603,0.00003
1.61708,2.0286,,1.61708,0.00003
1.61812,2.02859,,1.61812,0.00003
1.61917,2.02858,,1.61917,0.00003
1.62022,2.02857,,1.62022,0.00003
1.62127,2.02855,,1.62127,0.00003
1.62232,2.02854,,1.62232,0.00003
1.62338,2.02853,,1.62338,0.00003
1.62443,2.02852,,1.62443,0.00003
1.62549,2.02851,,1.62549,0.00003
1.62655,2.0285,,1.62655,0.00003
1.6276,2.02849,,1.6276,0.00003
1.62866,2.02847,,1.62866,0.00003
1.62973,2.02846,,1.62973,0.00003
1.63079,2.02845,,1.63079,0.00003
1.63185,2.02844,,1.63185,0.00003
1.63292,2.02843,,1.63292,0.00003
1.63399,2.02842,,1.63399,0.00003
1.63506,2.02841,,1.63506,0.00003
1.63613,2.02839,,1.63613,0.00003
1.6372,2.02838,,1.6372,0.00003
1.63827,2.02837,,1.63827,0.00003
1.63934,2.02836,,1.63934,0.00003
1.64042,2.02835,,1.64042,0.00003
1.6415,2.02833,,1.6415,0.00003
1.64258,2.02832,,1.64258,0.00003
1.64366,2.02831,,1.64366,0.00003
1.64474,2.0283,,1.64474,0.00003
1.64582,2.02829,,1.64582,0.00003
1.6469,2.02828,,1.6469,0.00003
1.64799,2.02826,,1.64799,0.00003
1.64908,2.02825,,1.64908,0.00003
1.65017,2.02824,,1.65017,0.00003
1.65125,2.02823,,1.65125,0.00003
1.65235,2.02822,,1.65235,0.00003
1.65344,2.0282,,1.65344,0.00003
1.65453,2.02819,,1.65453,0.00003
1.65563,2.02818,,1.65563,0.00003
1.65673,2.02817,,1.65673,0.00003
1.65782,2.02816,,1.65782,0.00003
1.65893,2.02814,,1.65893,0.00003
1.66003,2.02813,,1.66003,0.00003
1.66113,2.02812,,1.66113,0.00003
1.66223,2.02811,,1.66223,0.00003
1.66334,2.0281,,1.66334,0.00003
1.66445,2.02808,,1.66445,0.00003
1.66556,2.02807,,1.66556,0.00003
1.66667,2.02806,,1.66667,0.00003
1.66778,2.02805,,1.66778,0.00003
1.66889,2.02803,,1.66889,0.00003
1.67001,2.02802,,1.67001,0.00003
1.67112,2.02801,,1.67112,0.00003
1.67224,2.028,,1.67224,0.00003
1.67336,2.02798,,1.67336,0.00003
1.67448,2.02797,,1.67448,0.00003
1.6756,2.02796,,1.6756,0.00003
1.67673,2.02795,,1.67673,0.00003
1.67785,2.02793,,1.67785,0.00003
1.67898,2.02792,,1.67898,0.00003
1.68011,2.02791,,1.68011,0.00003
1.68124,2.0279,,1.68124,0.00003
1.68237,2.02788,,1.68237,0.00003
1.6835,2.02787,,1.6835,0.00003
1.68464,2.02786,,1.68464,0.00003
1.68577,2.02785,,1.68577,0.00003
1.68691,2.02783,,1.68691,0.00003
1.68805,2.02782,,1.68805,0.00003
1.68919,2.02781,,1.68919,0.00003
1.69033,2.02779,,1.69033,0.00003
1.69147,2.02778,,1.69147,0.00003
1.69262,2.02777,,1.69262,0.00003
1.69377,2.02776,,1.69377,0.00003
1.69492,2.02774,,1.69492,0.00003
1.69607,2.02773,,1.69607,0.00003
1.69722,2.02772,,1.69722,0.00003
1.69837,2.0277,,1.69837,0.00003
1.69952,2.02769,,1.69952,0.00003
1.70068,2.02768,,1.70068,0.00003
1.70184,2.02766,,1.70184,0.00003
1.703,2.02765,,1.703,0.00003
1.70416,2.02764,,1.70416,0.00003
1.70532,2.02762,,1.70532,0.00003
1.70648,2.02761,,1.70648,0.00003
1.70765,2.0276,,1.70765,0.00003
1.70882,2.02759,,1.70882,0.00003
1.70999,2.02757,,1.70999,0.00003
1.71116,2.02756,,1.71116,0.00003
1.71233,2.02755,,1.71233,0.00003
1.7135,2.02753,,1.7135,0.00003
1.71468,2.02752,,1.71468,0.00003
1.71585,2.0275,,1.71585,0.00003
1.71703,2.02749,,1.71703,0.00003
1.71821,2.02748,,1.71821,0.00003
1.71939,2.02746,,1.71939,0.00003
1.72058,2.02745,,1.72058,0.00003
