wl,n
0.207,0.956
0.210,1.010
0.214,1.046
0.218,1.084
0.221,1.144
0.225,1.228
0.230,1.309
0.234,1.354
0.238,1.363
0.243,1.361
0.248,1.368
0.253,1.382
0.258,1.400
0.264,1.432
0.270,1.483
0.276,1.561
0.282,1.689
0.288,1.944
0.295,2.415
0.302,2.956
0.310,3.323
0.318,3.528
0.326,3.642
0.335,3.713
0.344,3.759
0.354,3.783
0.365,3.804
0.376,3.823
0.387,3.825
0.400,3.785
0.413,3.751
0.428,3.740
0.443,3.755
0.459,3.816
0.477,3.946
0.496,4.235
0.517,4.464
0.539,4.455
0.564,4.470
0.590,4.630
0.620,5.197
0.653,5.037
0.689,4.822
0.729,4.644
0.775,4.500
0.827,4.370
0.886,4.270
0.954,4.200
1.033,4.140
1.127,4.096
1.240,4.050
1.378,4.026
1.550,4.010
1.771,3.959
2.066,3.878
2.480,3.846

wl,k
0.207,2.450
0.210,2.475
0.214,2.510
0.218,2.560
0.221,2.619
0.225,2.659
0.230,2.663
0.234,2.648
0.238,2.651
0.243,2.688
0.248,2.749
0.253,2.825
0.258,2.921
0.264,3.043
0.270,3.190
0.276,3.369
0.282,3.604
0.288,3.872
0.295,4.078
0.302,3.992
0.310,3.708
0.318,3.415
0.326,3.163
0.335,2.964
0.344,2.778
0.354,2.623
0.365,2.500
0.376,2.378
0.387,2.253
0.400,2.160
0.413,2.119
0.428,2.116
0.443,2.148
0.459,2.190
0.477,2.268
0.496,2.289
0.517,2.000
0.539,1.812
0.564,1.770
0.590,1.843
0.620,1.465
0.653,0.881
0.689,0.647
0.729,0.514
0.775,0.407
0.827,0.338
0.886,0.299
0.954,0.268
1.033,0.225
1.127,0.201
1.240,0.173
1.378,0.145
1.550,0.125
1.771,0.023
2.066,0.000
2.480,0.000
