wl,n,,wl,k
0.21,1.831,,0.21,-0.052
0.22,1.817,,0.22,-0.039
0.23,1.805,,0.23,-0.026
0.24,1.793,,0.24,-0.019
0.25,1.789,,0.25,-0.016
0.26,1.779,,0.26,-0.01
0.27,1.776,,0.27,-0.004
0.28,1.772,,0.28,-0.001
0.29,1.767,,0.29,0.001
0.3,1.762,,0.3,0.007
0.31,1.762,,0.31,0.01
0.32,1.762,,0.32,0.012
0.33,1.761,,0.33,0.013
0.34,1.76,,0.34,0.014
0.35,1.758,,0.35,0.015
0.36,1.757,,0.36,0.017
0.37,1.757,,0.37,0.018
0.38,1.757,,0.38,0.018
0.39,1.757,,0.39,0.019
0.4,1.756,,0.4,0.019
0.41,1.755,,0.41,0.019
0.42,1.754,,0.42,0.019
0.43,1.754,,0.43,0.02
0.44,1.754,,0.44,0.021
0.45,1.754,,0.45,0.021
0.46,1.754,,0.46,0.021
0.47,1.754,,0.47,0.021
0.48,1.754,,0.48,0.021
0.49,1.754,,0.49,0.021
0.5,1.754,,0.5,0.021
0.51,1.753,,0.51,0.021
0.52,1.753,,0.52,0.021
0.53,1.753,,0.53,0.02
0.54,1.753,,0.54,0.021
0.55,1.753,,0.55,0.021
0.56,1.752,,0.56,0.02
0.57,1.752,,0.57,0.021
0.58,1.752,,0.58,0.02
0.59,1.752,,0.59,0.02
0.6,1.752,,0.6,0.02
0.61,1.751,,0.61,0.02
0.62,1.751,,0.62,0.021
0.63,1.751,,0.63,0.02
0.64,1.751,,0.64,0.02
0.65,1.751,,0.65,0.02
0.66,1.751,,0.66,0.02
0.67,1.751,,0.67,0.02
0.68,1.751,,0.68,0.02
0.69,1.751,,0.69,0.021
0.7,1.751,,0.7,0.02
0.71,1.751,,0.71,0.02
0.72,1.751,,0.72,0.02
0.73,1.75,,0.73,0.02
0.74,1.75,,0.74,0.02
0.75,1.75,,0.75,0.02
0.76,1.75,,0.76,0.02
0.77,1.75,,0.77,0.02
0.78,1.75,,0.78,0.02
0.79,1.75,,0.79,0.02
0.8,1.75,,0.8,0.02
0.81,1.75,,0.81,0.02
0.82,1.75,,0.82,0.02
0.83,1.75,,0.83,0.02
0.84,1.75,,0.84,0.02
0.85,1.75,,0.85,0.02
0.86,1.75,,0.86,0.02
0.87,1.75,,0.87,0.02
0.88,1.75,,0.88,0.02
0.89,1.75,,0.89,0.02
0.9,1.75,,0.9,0.02
0.91,1.75,,0.91,0.02
0.92,1.75,,0.92,0.02
0.93,1.75,,0.93,0.02
0.94,1.75,,0.94,0.02
0.95,1.75,,0.95,0.02
0.96,1.75,,0.96,0.02
0.97,1.75,,0.97,0.02
0.98,1.75,,0.98,0.02
0.99,1.749,,0.99,0.02
1,1.749,,1,0.02
1.01,1.749,,1.01,0.02
1.02,1.749,,1.02,0.02
1.03,1.749,,1.03,0.02
1.04,1.749,,1.04,0.02
1.05,1.749,,1.05,0.02
1.06,1.749,,1.06,0.02
1.07,1.749,,1.07,0.02
1.08,1.749,,1.08,0.02
1.09,1.749,,1.09,0.02
1.1,1.749,,1.1,0.02
1.11,1.749,,1.11,0.02
1.12,1.749,,1.12,0.02
1.13,1.749,,1.13,0.02
1.14,1.749,,1.14,0.02
1.15,1.749,,1.15,0.02
1.16,1.749,,1.16,0.02
1.17,1.749,,1.17,0.02
1.18,1.749,,1.18,0.02
1.19,1.749,,1.19,0.02
1.2,1.749,,1.2,0.021
1.21,1.749,,1.21,0.021
1.22,1.749,,1.22,0.02
1.23,1.749,,1.23,0.021
1.24,1.749,,1.24,0.02
1.25,1.749,,1.25,0.02
1.26,1.749,,1.26,0.02
1.27,1.749,,1.27,0.019
1.28,1.749,,1.28,0.019
1.29,1.749,,1.29,0.019
1.3,1.749,,1.3,0.019
1.31,1.748,,1.31,0.019
1.32,1.748,,1.32,0.019
1.33,1.748,,1.33,0.019
1.34,1.748,,1.34,0.019
1.35,1.748,,1.35,0.019
1.36,1.748,,1.36,0.02
1.37,1.748,,1.37,0.019
1.38,1.748,,1.38,0.02
1.39,1.749,,1.39,0.02
1.4,1.748,,1.4,0.02
1.41,1.748,,1.41,0.02
1.42,1.748,,1.42,0.019
1.43,1.748,,1.43,0.019
1.44,1.748,,1.44,0.019
1.45,1.748,,1.45,0.02
1.46,1.748,,1.46,0.019
1.47,1.748,,1.47,0.019
1.48,1.748,,1.48,0.018
1.49,1.747,,1.49,0.019
1.5,1.747,,1.5,0.019
1.51,1.747,,1.51,0.018
1.52,1.747,,1.52,0.018
1.53,1.746,,1.53,0.018
1.54,1.746,,1.54,0.019
1.55,1.747,,1.55,0.018
1.56,1.746,,1.56,0.018
1.57,1.746,,1.57,0.018
1.58,1.745,,1.58,0.018
1.59,1.745,,1.59,0.016
1.6,1.745,,1.6,0.018
1.61,1.745,,1.61,0.018
1.62,1.745,,1.62,0.018
1.63,1.744,,1.63,0.018
1.64,1.744,,1.64,0.018
1.65,1.744,,1.65,0.019
1.66,1.744,,1.66,0.019
1.67,1.744,,1.67,0.019
1.68,1.744,,1.68,0.019
1.69,1.744,,1.69,0.019
1.7,1.744,,1.7,0.019
1.71,1.744,,1.71,0.019
1.72,1.744,,1.72,0.019
1.73,1.744,,1.73,0.019
1.74,1.743,,1.74,0.018
1.75,1.743,,1.75,0.019
1.76,1.743,,1.76,0.019
1.77,1.744,,1.77,0.018
1.78,1.744,,1.78,0.018
1.79,1.743,,1.79,0.017
1.8,1.743,,1.8,0.017
1.81,1.742,,1.81,0.017
