wl,n
0.2066,1.079
0.2101,1.101
0.2138,1.121
0.2175,1.140
0.2214,1.157
0.2254,1.169
0.2296,1.181
0.2339,1.190
0.2384,1.198
0.2431,1.215
0.2480,1.233
0.2530,1.254
0.2583,1.270
0.2638,1.294
0.2695,1.321
0.2755,1.348
0.2818,1.380
0.2883,1.402
0.2952,1.427
0.3024,1.410
0.3100,1.265
0.3179,0.859
0.3263,0.307
0.3351,0.187
0.3444,0.142
0.3542,0.106
0.3647,0.076
0.3757,0.061
0.3875,0.050
0.3999,0.054
0.4133,0.050
0.4275,0.051
0.4428,0.052
0.4592,0.052
0.4769,0.053
0.4959,0.052
0.5166,0.052
0.5391,0.05168
0.5636,0.05009
0.5904,0.04977
0.6199,0.04803
0.6525,0.04964
0.6888,0.05080
0.7293,0.05151
0.7749,0.05269
0.8266,0.05504
0.8856,0.05896
0.9537,0.06542
1.033,0.07286
1.127,0.08427
1.240,0.09799
1.305,0.1056
1.378,0.1143
1.459,0.1256
1.550,0.1388
1.653,0.1543
1.771,0.1735
1.907,0.1988
2.066,0.2315
2.254,0.2724
2.480,0.3256
2.755,0.3970
3.100,0.4960
3.542,0.6387
4.133,0.8566
4.959,1.228
6.199,1.851
8.266,3.227
12.4000,5.079

wl,k
0.2066,1.247
0.2101,1.258
0.2138,1.267
0.2175,1.272
0.2214,1.280
0.2254,1.283
0.2296,1.287
0.2339,1.294
0.2384,1.306
0.2431,1.317
0.2480,1.326
0.2530,1.328
0.2583,1.327
0.2638,1.329
0.2695,1.310
0.2755,1.291
0.2818,1.247
0.2883,1.181
0.2952,1.079
0.3024,0.894
0.3100,0.656
0.3179,0.466
0.3263,0.651
0.3351,1.042
0.3444,1.269
0.3542,1.467
0.3647,1.645
0.3757,1.815
0.3875,1.981
0.3999,2.138
0.4133,2.292
0.4275,2.448
0.4428,2.604
0.4592,2.765
0.4769,2.930
0.4959,3.105
0.5166,3.288
0.5391,3.483
0.5636,3.694
0.5904,3.918
0.6199,4.164
0.6525,4.432
0.6888,4.725
0.7293,5.048
0.7749,5.409
0.8266,5.814
0.8856,6.276
0.9537,6.802
1.033,7.412
1.127,8.128
1.240,8.981
1.305,9.472
1.378,10.018
1.459,10.63
1.550,11.31
1.653,12.08
1.771,12.97
1.907,13.98
2.066,15.16
2.254,16.56
2.480,18.23
2.755,20.26
3.100,22.80
3.542,26.05
4.133,30.37
4.959,36.37
6.199,45.26
8.266,59.73
12.4000,86.53
