wl,n
0.2200,1.533
0.2400,1.540
0.2600,1.526
0.2800,1.516
0.3000,1.510
0.3200,1.506
0.3400,1.503
0.3600,1.499
0.3800,1.495
0.4000,1.493
0.4200,1.491
0.4400,1.489
0.4600,1.487
0.4800,1.486
0.5000,1.485
0.5200,1.484
0.5400,1.483
0.5600,1.482
0.5800,1.481
0.6000,1.479
0.6200,1.479
0.6400,1.479
0.6600,1.479
0.6800,1.479
0.7000,1.479
0.7200,1.479
0.7400,1.479
0.7600,1.479
0.7800,1.479
0.8000,1.479
0.8200,1.479
0.8400,1.479
0.8600,1.479
0.8800,1.479
0.9000,1.479
0.9200,1.479
0.9400,1.479
0.9600,1.479
0.9800,1.479
1.0000,1.479
1.0200,1.479
1.0400,1.479
1.0600,1.479
1.0800,1.479
1.1000,1.479
1.1200,1.479
1.1400,1.479
1.1600,1.479
1.1800,1.479
1.2000,1.479
1.2200,1.479
1.2400,1.478
1.2600,1.478
1.2800,1.479
1.3000,1.479
1.3200,1.479
1.3400,1.479
1.3600,1.479
1.3800,1.479
1.4000,1.479
1.4200,1.479
1.4400,1.479
1.4600,1.479
1.4800,1.479
1.5000,1.479
1.5200,1.479
1.5400,1.479
1.5600,1.479
1.5800,1.478
1.6000,1.478
1.6200,1.478
1.6400,1.478
1.6600,1.478
1.6800,1.478
1.7000,1.478
1.7200,1.478
1.7400,1.478
1.7600,1.478
1.7800,1.479
1.8000,1.479
1.8200,1.479
1.8400,1.479
1.8600,1.479
1.8800,1.479
1.9000,1.479
1.9200,1.479
1.9400,1.479
1.9600,1.479
1.9800,1.479
2.0000,1.479
2.0200,1.479
2.0400,1.479
2.0600,1.479
2.0800,1.479
2.1000,1.478
2.1200,1.478
2.1400,1.477
2.1600,1.476
2.1800,1.476
2.2000,1.476
2.2200,1.475
2.2400,1.475
2.2600,1.474
2.2800,1.474
2.3000,1.474
2.3200,1.474
2.3400,1.473
2.3600,1.473
2.3800,1.473
2.4000,1.474
2.4200,1.474
2.4400,1.474
2.4600,1.474
2.4800,1.474
2.5000,1.475
2.5126,1.475
2.5253,1.475
2.5381,1.475
2.5510,1.475
2.5641,1.475
2.5773,1.475
2.5907,1.475
2.6042,1.475
2.6178,1.474
2.6316,1.474
2.6455,1.474
2.6596,1.474
2.6738,1.474
2.6882,1.474
2.7027,1.474
2.7174,1.473
2.7322,1.473
2.7473,1.473
2.7624,1.473
2.7778,1.473
2.7933,1.473
2.8090,1.472
2.8249,1.472
2.8409,1.472
2.8571,1.472
2.8736,1.472
2.8902,1.472
2.9070,1.472
2.9240,1.472
2.9412,1.472
2.9586,1.472
2.9762,1.472
2.9940,1.472
3.0120,1.472
3.0303,1.472
3.0488,1.472
3.0675,1.472
3.0864,1.471
3.1056,1.471
3.1250,1.471
3.1447,1.471
3.1646,1.471
3.1847,1.471
3.2051,1.472
3.2258,1.472
3.2468,1.472
3.2680,1.472
3.2895,1.472
3.3113,1.471
3.3333,1.471
3.3557,1.471
3.3784,1.471
3.4014,1.471
3.4247,1.471
3.4483,1.470
3.4722,1.470
3.4965,1.470
3.5211,1.470
3.5461,1.470
3.5714,1.470
3.5971,1.469
3.6232,1.469
3.6496,1.469
3.6765,1.469
3.7037,1.469
3.7313,1.468
3.7594,1.468
3.7879,1.468
3.8168,1.468
3.8462,1.468
3.8760,1.468
3.9063,1.468
3.9370,1.468
3.9683,1.468
4.0000,1.468
4.0323,1.468
4.0650,1.468
4.0984,1.468
4.1322,1.468
4.1667,1.468
4.2017,1.468
4.2373,1.468
4.2735,1.467
4.3103,1.467
4.3478,1.467
4.3860,1.467
4.4248,1.467
4.4643,1.467
4.5045,1.467
4.5455,1.467
4.5872,1.467
4.6296,1.467
4.6729,1.466
4.7170,1.466
4.7619,1.466
4.8077,1.466
4.8544,1.466
4.9020,1.466
4.9505,1.465
5.0000,1.465
5.0505,1.465
5.1020,1.464
5.1546,1.464
5.2083,1.464
5.2632,1.463
5.3191,1.463
5.3763,1.462
5.4348,1.462
5.4945,1.461
5.5556,1.461
5.6180,1.460
5.6818,1.460
5.7471,1.460
5.8140,1.459
5.8824,1.458
5.9524,1.458
6.0241,1.457
6.0976,1.457
6.1728,1.456
6.2500,1.456
6.3291,1.455
6.4103,1.454
6.4935,1.454
6.5789,1.453
6.6667,1.452
6.7568,1.452
6.8493,1.451
6.9444,1.450
7.0423,1.450
7.1429,1.449
7.2464,1.449
7.3529,1.448
7.4627,1.448
7.5758,1.447
7.6923,1.446
7.8125,1.445
7.9365,1.444
8.0645,1.444
8.1967,1.442
8.3333,1.441
8.4746,1.440
8.6207,1.438
8.7719,1.436
8.9286,1.434
9.0909,1.433
9.2593,1.431
9.4340,1.428
9.6154,1.426
9.8039,1.423
10.0000,1.419
10.2041,1.416
10.4167,1.411
10.6383,1.406
10.8696,1.401
11.1111,1.395
11.3636,1.389
11.6279,1.382
11.9048,1.375
12.1951,1.367
12.5000,1.360
12.8205,1.351
13.1579,1.343
13.5135,1.332
13.8889,1.321
14.2857,1.311
14.7059,1.301
15.1515,1.289
15.6250,1.275
16.1290,1.262
16.6667,1.248
17.2414,1.227
17.8571,1.206
18.5185,1.189
19.2308,1.160
20.0000,1.130
20.8333,1.084
21.7391,1.023
22.7273,0.988
23.8095,0.923
25.0000,0.858
26.3158,0.744
27.7778,0.572
29.4118,0.343
31.2500,0.227
33.3333,0.148
35.7143,0.142
38.4615,0.129
41.6667,0.148
45.4545,0.205
50.0000,0.976
55.5556,8.501
62.5000,4.547
71.4286,3.595
83.3333,3.173
100.0000,2.936
125.0000,2.790
166.6667,2.696

wl,k
0.2200,0.000
0.2400,0.000
0.2600,0.000
0.2800,0.000
0.3000,0.000
0.3200,0.000
0.3400,0.000
0.3600,0.000
0.3800,0.000
0.4000,0.000
0.4200,0.000
0.4400,0.000
0.4600,0.000
0.4800,0.000
0.5000,0.000
0.5200,0.000
0.5400,0.000
0.5600,0.000
0.5800,0.000
0.6000,0.000
0.6200,0.000
0.6400,0.000
0.6600,0.000
0.6800,0.000
0.7000,0.000
0.7200,0.000
0.7400,0.000
0.7600,0.000
0.7800,0.000
0.8000,0.000
0.8200,0.000
0.8400,0.000
0.8600,0.000
0.8800,0.000
0.9000,0.000
0.9200,0.000
0.9400,0.000
0.9600,0.000
0.9800,0.000
1.0000,0.000
1.0200,0.000
1.0400,0.000
1.0600,0.000
1.0800,0.000
1.1000,0.000
1.1200,0.000
1.1400,0.000
1.1600,0.000
1.1800,0.000
1.2000,0.000
1.2200,0.000
1.2400,0.000
1.2600,0.000
1.2800,0.000
1.3000,0.000
1.3200,0.000
1.3400,0.000
1.3600,0.000
1.3800,0.000
1.4000,0.000
1.4200,0.000
1.4400,0.000
1.4600,0.000
1.4800,0.000
1.5000,0.000
1.5200,0.000
1.5400,0.000
1.5600,0.000
1.5800,0.000
1.6000,0.000
1.6200,0.000
1.6400,0.000
1.6600,0.000
1.6800,0.000
1.7000,0.000
1.7200,0.000
1.7400,0.000
1.7600,0.000
1.7800,0.000
1.8000,0.000
1.8200,0.000
1.8400,0.000
1.8600,0.000
1.8800,0.000
1.9000,0.000
1.9200,0.000
1.9400,0.000
1.9600,0.000
1.9800,0.000
2.0000,0.000
