wl,n
0.2066,1.020
0.2101,1.054
0.2138,1.090
0.2175,1.133
0.2214,1.181
0.2254,1.228
0.2296,1.276
0.2339,1.329
0.2384,1.388
0.2431,1.439
0.2480,1.489
0.2530,1.546
0.2583,1.573
0.2638,1.580
0.2695,1.577
0.2755,1.564
0.2818,1.540
0.2883,1.507
0.2952,1.458
0.3024,1.422
0.3100,1.404
0.3179,1.387
0.3263,1.375
0.3351,1.377
0.3444,1.369
0.3542,1.349
0.3647,1.324
0.3757,1.292
0.3875,1.276
0.3999,1.239
0.4133,1.198
0.4275,1.186
0.4428,1.168
0.4592,1.147
0.4769,1.131
0.4959,1.121
0.5166,1.089
0.5391,0.9717
0.5636,0.5166
0.5904,0.1268
0.6199,0.09461
0.6525,0.08780
0.6888,0.07277
0.7293,0.06434
0.7749,0.06000
0.8266,0.06248
0.8856,0.06666
0.9537,0.07343
1.033,0.08395
1.127,0.09798
1.240,0.1189
1.305,0.1317
1.378,0.1465
1.459,0.1646
1.550,0.1863
1.653,0.2125
1.771,0.2439
1.907,0.2836
2.066,0.3333
2.254,0.3975
2.480,0.4814
2.755,0.5934
3.100,0.7493
3.542,0.9782
4.133,1.334
4.959,1.924
6.199,2.973
8.266,5.134
12.40,11.18

wl,k
0.2066,1.597
0.2101,1.656
0.2138,1.697
0.2175,1.739
0.2214,1.770
0.2254,1.800
0.2296,1.822
0.2339,1.843
0.2384,1.851
0.2431,1.844
0.2480,1.840
0.2530,1.814
0.2583,1.770
0.2638,1.734
0.2695,1.705
0.2755,1.678
0.2818,1.662
0.2883,1.652
0.2952,1.660
0.3024,1.698
0.3100,1.735
0.3179,1.773
0.3263,1.814
0.3351,1.851
0.3444,1.874
0.3542,1.905
0.3647,1.937
0.3757,1.985
0.3875,2.037
0.3999,2.078
0.4133,2.158
0.4275,2.238
0.4428,2.299
0.4592,2.372
0.4769,2.445
0.4959,2.485
0.5166,2.501
0.5391,2.413
0.5636,2.410
0.5904,2.918
0.6199,3.382
0.6525,3.759
0.6888,4.123
0.7293,4.507
0.7749,4.917
0.8266,5.361
0.8856,5.850
0.9537,6.400
1.033,7.028
1.127,7.757
1.240,8.619
1.305,9.114
1.378,9.660
1.459,10.27
1.550,10.95
1.653,11.72
1.771,12.59
1.907,13.59
2.066,14.76
2.254,16.14
2.480,17.78
2.755,19.78
3.100,22.28
3.542,25.48
4.133,29.73
4.959,35.62
6.199,44.34
8.266,58.62
12.40,85.47
