wl,n
0.40000,3.00000
0.40939,3.00000
0.41879,3.00000
0.42818,3.00000
0.43757,3.00000
0.44696,3.00000
0.45636,3.00000
0.46575,3.00000
0.47514,3.00000
0.48454,3.00000
0.49393,3.00000
0.50332,3.00001
0.51271,3.00025
0.52211,3.00107
0.53150,3.00274
0.54089,3.00549
0.55029,3.00959
0.55968,3.01525
0.56907,3.02275
0.57846,3.03252
0.58786,3.04519
0.59725,3.06138
0.60664,3.08150
0.61604,3.10606
0.62543,3.13527
0.63482,3.16943
0.64421,3.20855
0.65361,3.25229
0.66300,3.29996
0.67239,3.35093
0.68178,3.40442
0.69118,3.45974
0.70057,3.51638
0.70996,3.57389
0.71936,3.63181
0.72875,3.68977
0.73814,3.74740
0.74753,3.80425
0.75693,3.85982
0.76632,3.91386
0.77571,3.96620
0.78511,4.01639
0.79450,4.06442
0.80389,4.11007
0.81328,4.15300
0.82268,4.19324
0.83207,4.23044
0.84146,4.26445
0.85086,4.29450
0.86025,4.31850
0.86964,4.33525
0.87903,4.34281
0.88843,4.34187
0.89782,4.34027
0.90721,4.34332
0.91660,4.35094
0.92600,4.36077
0.93539,4.36995
0.94478,4.37710
0.95418,4.38163
0.96357,4.38358
0.97296,4.38317
0.98235,4.38100
0.99175,4.37790
1.00114,4.37427
1.01053,4.37023
1.01993,4.36606
1.02932,4.36180
1.03871,4.35727
1.04810,4.35250
1.05750,4.34765
1.06689,4.34279
1.07628,4.33809
1.08568,4.33378
1.09507,4.33004
1.10446,4.32688
1.11385,4.32388
1.12325,4.32060
1.13264,4.31665
1.14203,4.31222
1.15143,4.30767
1.16082,4.30313
1.17021,4.29867
1.17960,4.29413
1.18900,4.28971
1.19839,4.28538
1.20778,4.28120
1.21717,4.27686
1.22657,4.27259
1.23596,4.26879
1.24535,4.26574
1.25475,4.26307
1.26414,4.26063
1.27353,4.25814
1.28292,4.25561
1.29232,4.25270
1.30171,4.24977
1.31110,4.24698
1.32050,4.24445
1.32989,4.24219
1.33928,4.24014
1.34867,4.23817
1.35807,4.23546
1.36746,4.23267
1.37685,4.22964
1.38625,4.22672
1.39564,4.22435
1.40503,4.22225
1.41442,4.22122
1.42382,4.22029
1.43321,4.21980
1.44260,4.21932
1.45200,4.21886
1.46139,4.21841
1.47078,4.21824
1.48017,4.21808
1.48957,4.21761
1.49896,4.21708
1.50835,4.21678
1.51774,4.21663
1.52714,4.21661
1.53653,4.21695
1.54592,4.21729
1.55532,4.21488
1.56471,4.21218
1.57410,4.20747
1.58349,4.20038
1.59289,4.19328
1.60228,4.18694
1.61167,4.18065
1.62107,4.17514
1.63046,4.17116
1.63985,4.16717
1.64924,4.16397
1.65864,4.16115
