wl,n
0.25,1.637
0.26,1.737
0.27,2.03
0.28,2.84
0.29,4.185
0.3,5.049
0.31,5.091
0.32,5.085
0.33,5.135
0.34,5.245
0.35,5.423
0.36,5.914
0.37,6.82
0.38,6.587
0.39,6.025
0.4,5.623
0.41,5.341
0.42,5.11
0.43,4.932
0.44,4.79
0.45,4.673
0.46,4.572
0.47,4.485
0.48,4.412
0.49,4.349
0.5,4.289
0.51,4.235
0.52,4.187
0.53,4.145
0.54,4.103
0.55,4.073
0.56,4.038
0.57,4.006
0.58,3.977
0.59,3.954
0.6,3.931
0.61,3.908
0.62,3.888
0.63,3.869
0.64,3.851
0.65,3.835
0.66,3.817
0.67,3.805
0.68,3.791
0.69,3.776
0.7,3.765
0.71,3.753
0.72,3.741
0.73,3.73
0.74,3.719
0.75,3.712
0.76,3.701
0.77,3.693
0.78,3.684
0.79,3.677
0.8,3.669
0.81,3.662
0.82,3.655
0.83,3.646
0.84,3.641
0.85,3.636
0.86,3.628
0.87,3.622
0.88,3.617
0.89,3.613
0.9,3.61
0.91,3.604
0.92,3.598
0.93,3.597
0.94,3.59
0.95,3.584
0.96,3.584
0.97,3.578
0.98,3.582
0.99,3.579
1,3.575
1.01,3.572
1.02,3.568
1.03,3.565
1.04,3.562
1.05,3.559
1.06,3.556
1.07,3.553
1.08,3.549
1.09,3.547
1.1,3.545
1.11,3.542
1.12,3.54
1.13,3.537
1.14,3.534
1.15,3.533
1.16,3.53
1.17,3.527
1.18,3.526
1.19,3.524
1.2,3.522
1.21,3.52
1.22,3.518
1.23,3.517
1.24,3.515
1.25,3.513
1.26,3.512
1.27,3.509
1.28,3.509
1.29,3.506
1.3,3.505
1.31,3.503
1.32,3.502
1.33,3.501
1.34,3.5
1.35,3.499
1.36,3.497
1.37,3.496
1.38,3.496
1.39,3.496
1.4,3.493
1.41,3.492
1.42,3.492
1.43,3.49
1.44,3.488
1.45,3.487
,
wl,k
0.25,3.59E+00
0.26,3.99E+00
0.27,4.60E+00
0.28,5.20E+00
0.29,5.31E+00
0.3,4.29E+00
0.31,3.62E+00
0.32,3.28E+00
0.33,3.09E+00
0.34,2.96E+00
0.35,2.91E+00
0.36,2.91E+00
0.37,2.14E+00
0.38,9.84E-01
0.39,5.03E-01
0.4,3.26E-01
0.41,2.41E-01
0.42,1.77E-01
0.43,1.38E-01
0.44,1.12E-01
0.45,9.54E-02
0.46,7.91E-02
0.47,7.02E-02
0.48,5.98E-02
0.49,5.38E-02
0.5,4.85E-02
0.51,4.38E-02
0.52,3.95E-02
0.53,3.48E-02
0.54,2.99E-02
0.55,2.80E-02
0.56,2.66E-02
0.57,2.37E-02
0.58,2.19E-02
0.59,2.01E-02
0.6,1.85E-02
0.61,1.73E-02
0.62,1.68E-02
0.63,1.63E-02
0.64,1.47E-02
0.65,1.44E-02
0.66,1.36E-02
0.67,1.28E-02
0.68,1.20E-02
0.69,1.13E-02
0.7,1.06E-02
0.71,9.96E-03
0.72,9.33E-03
0.73,8.73E-03
0.74,8.16E-03
0.75,7.62E-03
0.76,7.09E-03
0.77,6.61E-03
0.78,6.13E-03
0.79,5.69E-03
0.8,5.27E-03
0.81,4.86E-03
0.82,4.48E-03
0.83,4.12E-03
0.84,3.78E-03
0.85,3.46E-03
0.86,3.16E-03
0.87,2.87E-03
0.88,2.60E-03
0.89,2.35E-03
0.9,2.11E-03
0.91,1.89E-03
0.92,1.68E-03
0.93,1.48E-03
0.94,1.31E-03
0.95,1.14E-03
0.96,9.82E-04
0.97,8.41E-04
0.98,7.13E-04
0.99,5.96E-04
1,4.90E-04
1.01,3.96E-04
1.02,3.14E-04
1.03,2.40E-04
1.04,1.80E-04
1.05,1.30E-04
1.06,9.25E-05
1.07,6.78E-05
1.08,5.22E-05
1.09,3.98E-05
1.1,3.02E-05
1.11,2.29E-05
1.12,1.71E-05
1.13,1.24E-05
1.14,8.62E-06
1.15,5.69E-06
1.16,3.43E-06
1.17,1.77E-06
1.18,5.56E-07
1.19,2.32E-07
1.2,1.39E-07
1.21,8.09E-08
1.22,4.79E-08
1.23,2.71E-08
1.24,1.43E-08
1.25,5.88E-09
1.26,2.34E-09
1.27,1.27E-09
1.28,7.53E-10
1.29,4.48E-10
1.3,2.72E-10
1.31,1.59E-10
1.32,8.72E-11
1.33,4.20E-11
1.34,1.81E-11
1.35,1.04E-11
1.36,6.29E-12
1.37,3.90E-12
1.38,2.64E-12
1.39,1.74E-12
1.4,1.04E-12
1.41,6.04E-13
1.42,4.29E-13
1.43,2.04E-13
1.44,1.38E-13
1.45,1.09E-13
