wl,n
2.94938E-02,0.887314
3.00495E-02,0.883526
3.06157E-02,0.877279
3.11925E-02,0.870667
3.17802E-02,0.865582
3.23790E-02,0.862174
3.29890E-02,0.860291
3.36106E-02,0.859091
3.42439E-02,0.858507
3.48891E-02,0.858497
3.55464E-02,0.859036
3.62162E-02,0.860235
3.68985E-02,0.861649
3.75937E-02,0.863507
3.83021E-02,0.865407
3.90237E-02,0.867515
3.97590E-02,0.870103
4.05081E-02,0.872251
4.12713E-02,0.874093
4.20489E-02,0.876263
4.28412E-02,0.878275
4.36483E-02,0.879640
4.44707E-02,0.880129
4.53086E-02,0.880275
4.61623E-02,0.881184
4.70321E-02,0.882563
4.79182E-02,0.883251
4.88210E-02,0.881493
4.97409E-02,0.878349
5.06781E-02,0.877114
5.16329E-02,0.878412
5.26057E-02,0.882654
5.35969E-02,0.891949
5.46067E-02,0.903256
5.56356E-02,0.909900
5.66838E-02,0.914526
5.77518E-02,0.921290
5.88400E-02,0.929812
5.99486E-02,0.941993
6.10781E-02,0.954689
6.22289E-02,0.962760
6.34014E-02,0.967331
6.45959E-02,0.972348
6.58130E-02,0.979227
6.70530E-02,0.988735
6.83163E-02,0.999240
6.96035E-02,1.008544
7.09149E-02,1.018160
7.22511E-02,1.026595
7.36124E-02,1.038517
7.49993E-02,1.058245
7.64124E-02,1.078446
7.78521E-02,1.094830
7.93189E-02,1.107957
8.08134E-02,1.113578
8.23360E-02,1.118704
8.38874E-02,1.135462
8.54679E-02,1.159903
8.70782E-02,1.182587
8.87189E-02,1.209856
9.03905E-02,1.222391
9.20935E-02,1.255146
9.38287E-02,1.323130
9.55966E-02,1.355658
9.73977E-02,1.381876
9.92328E-02,1.423695
1.01102E-01,1.462605
1.03007E-01,1.516706
1.04948E-01,1.572582
1.06926E-01,1.611368
1.08940E-01,1.640192
1.10993E-01,1.666027
1.13084E-01,1.689775
1.15215E-01,1.705699
1.17385E-01,1.719929
1.19597E-01,1.737640
1.21850E-01,1.741873
1.24146E-01,1.745046
1.26485E-01,1.760641
1.28869E-01,1.776910
1.31297E-01,1.791499
1.33770E-01,1.801940
1.36291E-01,1.808534
1.38859E-01,1.809249
1.41475E-01,1.806750
1.44141E-01,1.803693
1.46856E-01,1.802791
1.49623E-01,1.803949
1.52442E-01,1.807081
1.55315E-01,1.813430
1.58241E-01,1.816681
1.61222E-01,1.815331
1.64260E-01,1.819607
1.67355E-01,1.827870
1.70508E-01,1.833097
1.73721E-01,1.842640
1.76994E-01,1.859949
1.80329E-01,1.886402
1.83726E-01,1.907338
1.87188E-01,1.927943
1.90715E-01,1.971030
1.94308E-01,2.018102
1.97969E-01,2.065739
2.01699E-01,2.124363
2.05499E-01,2.187821
2.09371E-01,2.252461
2.13316E-01,2.317765
2.17335E-01,2.383453
2.21430E-01,2.448583
2.25602E-01,2.510247
2.29853E-01,2.559918
2.34183E-01,2.592864
2.38596E-01,2.610037
2.43091E-01,2.614369
2.47671E-01,2.611533
2.52338E-01,2.601842
2.57092E-01,2.583646
2.61936E-01,2.558500
2.66871E-01,2.529054
2.71899E-01,2.498146
2.77022E-01,2.468192
2.82242E-01,2.440879
2.87560E-01,2.416946
2.92978E-01,2.396030
2.98498E-01,2.377475
3.04122E-01,2.361544
3.09852E-01,2.344878
3.15690E-01,2.327401
3.21638E-01,2.313067
3.27698E-01,2.299073
3.33872E-01,2.284646
3.40163E-01,2.272668
3.46572E-01,2.262346
3.53102E-01,2.252380
3.59755E-01,2.242995
3.66533E-01,2.234227
3.73439E-01,2.225945
3.80475E-01,2.218046
3.87643E-01,2.210459
3.94947E-01,2.203195
4.02388E-01,2.196309
4.09970E-01,2.189773
4.17694E-01,2.183516
4.25564E-01,2.177509
4.33582E-01,2.171784
4.41752E-01,2.166291
4.50075E-01,2.160999
4.58555E-01,2.155916
4.67195E-01,2.151042
4.75997E-01,2.146366
4.84965E-01,2.141875
4.94103E-01,2.137538
5.03412E-01,2.133353
5.12897E-01,2.129353
5.22561E-01,2.125520
5.32407E-01,2.121802
5.42438E-01,2.118237
5.52658E-01,2.114865
5.63071E-01,2.111633
5.73680E-01,2.108538
5.84489E-01,2.105606
5.95501E-01,2.102780
6.06721E-01,2.100052
6.18153E-01,2.097506
6.29799E-01,2.095102
6.41666E-01,2.092795
6.53756E-01,2.090601
6.66073E-01,2.088483
6.78623E-01,2.086529
6.91409E-01,2.084691
7.04436E-01,2.082859
7.17708E-01,2.081029
7.31231E-01,2.079270
7.45008E-01,2.077617
7.59045E-01,2.076014
7.73347E-01,2.074499
7.87917E-01,2.073057
8.02763E-01,2.071678
8.17888E-01,2.070356
8.33298E-01,2.069088
8.48998E-01,2.067873
8.64995E-01,2.066710
8.81292E-01,2.065595
8.97897E-01,2.064523
9.14814E-01,2.063492
9.32051E-01,2.062500
9.49612E-01,2.061544
9.67504E-01,2.060621
9.85733E-01,2.059728
1.00431E+00,2.058858
1.02323E+00,2.058014
1.04251E+00,2.057206
1.06215E+00,2.056435
1.08216E+00,2.055695
